% Model,Janik_2021_1m_modulo23_500Hz_46n_30stopni_5potega_out.mph
% Version,COMSOL 5.3.0.316
% Date,"Jul 1 2021, 15:35"
% Dimension,3
% Nodes,101
% Expressions,15
% Description,
% Length unit,m
% X,Y,Z,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=100,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=125,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=160,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=200,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=315,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=400,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=630,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=800,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1600,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2500
-1.9021122575862481,2.707852965614674E-16,0.6180349762988191,0.00657876853805468,0.007103551806992844,0.011392149207506684,0.011504680545381623,0.005714963555666606,0.025083862941957018,0.016161950628192506,0.0531706406727304,0.0471536062289944,0.12873568743014024,0.0010075915203087383,0.07112590709684115,0.09741681983765296,0.029002065924685797,0.28166687455744144
-1.881758978567813,2.719324577723626E-16,0.6774760986475202,0.006350931715331049,0.007096989994215891,0.01235685276385336,0.01344266349870419,0.0070555459040377065,0.02618247260842848,0.015457629915725106,0.0470808271756625,0.050278665931990686,0.14609804914755886,0.0031740137687227147,0.06538226389677577,0.16976503021439124,0.012757462203266678,0.2941845558088854
-1.8595494720331174,2.72811376819459E-16,0.7362489490471237,0.006206990765206561,0.007235517085796795,0.013647066646700111,0.015707364474314565,0.008510916935287136,0.025956194735924372,0.014140354295576876,0.04222187204251928,0.05516840773057133,0.1569042270602496,0.0066752079748264494,0.04874050304781773,0.27841871792250067,0.004734878253588257,0.28711264121910257
-1.8355065900411773,2.7342132447762506E-16,0.7942959142294359,0.006144420461097203,0.007513131565880102,0.015230044730823445,0.01823974695004765,0.01004039472955184,0.02444135669521856,0.01258796378986322,0.03956469969436551,0.05924193074885445,0.16402413448674832,0.011892259108811752,0.03951091958853601,0.4370412503565098,0.01612921325447671,0.23877253290846215
-1.8096531846510095,2.7376157152172994E-16,0.8515593809262648,0.006161736000799212,0.00792327929408783,0.01706869169481215,0.02097671121931295,0.011611350127694299,0.02187529771935063,0.011160142932178662,0.03875785491441191,0.060410647655527144,0.17430194279162473,0.020068610609470083,0.03519807591313373,0.6394741399634398,0.057208118257405,0.22355220113053337
-1.7820122487839272,2.7383140663452024E-16,0.9079817466026655,0.006258250511817278,0.00845925586362732,0.019123550178241036,0.023855225538046913,0.013205136834190393,0.018637001038728687,0.010116395695457378,0.038504258590792935,0.05843395177081695,0.19227897542956263,0.03287163696021553,0.0224221483102037,0.8849767464959415,0.11866911977307841,0.1742306656861676
-1.7526108054233713,2.7363071113576337E-16,0.9635070270964695,0.006431928492843154,0.009111923388123543,0.021348996254057243,0.02681029817393155,0.014818611260998977,0.015166013709594046,0.009577427593321267,0.037289534925017076,0.05511272303339206,0.21608390740813013,0.05119100793174003,0.007689677562707665,1.175480806141374,0.20440735733579313,0.1700306803075129
-1.721480402414609,2.7316007813267643E-16,1.0180818128930686,0.006678583636653134,0.009868691869051718,0.02369263263853804,0.029776704729738285,0.01646384083839853,0.011880359400022989,0.009535824911423482,0.03410360339948553,0.053207556312832485,0.23931943089124783,0.07513477811745123,0.0025773935108281557,1.464517939780025,0.25739673302989124,0.19576164319018569
-1.6886528278364719,2.7242014265763105E-16,1.0716528987004568,0.006994258141615111,0.010716792833802566,0.026102730973835246,0.032698434235680356,0.018171737336929585,0.009113212262439139,0.009898629327730727,0.02884971452582375,0.054789649448336725,0.25692596866913553,0.10592527817673335,0.003571039970083475,1.6923162630556268,0.27566089795271426,0.20977599939436328
-1.654159869767791,2.714115397429986E-16,1.1241670792266263,0.007375556472073538,0.011644057424070816,0.028530911209225174,0.03553288785909406,0.019991529811392322,0.007067710475091572,0.010537269956546077,0.022285952711875737,0.060044166636552744,0.2694697827391289,0.14706450791647493,0.0095540020774118,1.8383778852985466,0.2516440049340572,0.2556430385585133
