% Model,Janik_2021_1m_200Hz_modulo7_30stopni_6n_out.mph
% Version,COMSOL 5.3.0.316
% Date,"Jul 1 2021, 15:32"
% Dimension,3
% Nodes,249
% Expressions,16
% Description,
% Length unit,m
% X,Y,Z,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=100,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=125,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=160,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=200,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=315,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=400,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=630,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=800,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1600,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=3150
-1.9897057691784887,2.5605796193508146E-16,0.20233232629622677,0.007040995586661252,0.007777716540642596,0.01322047979646262,0.007061928202398957,0.001631572597793119,0.004039600223359625,0.014186059574512107,0.009397877224148941,0.004913550662521055,0.005200700156675474,0.0022697733002281207,0.0047194855494599505,0.01237636460147929,0.003665142501157816,0.007280340225844436,0.010914096660465718
-1.9228306936213246,2.6916844883788983E-16,0.550192977057251,0.004677075938309431,0.0050571160938682625,0.00990265095962869,0.009419311585201522,0.004482219276978874,0.006840537059499395,0.03696165061824721,0.031605444683525476,0.00645739057046488,0.009394158005850148,0.001035294649522804,0.025104595537968732,0.05463483333223368,0.03248280344074238,0.013321478984136229,0.018366556833152935
-1.9082780879837158,2.703581437166485E-16,0.5987273801547475,0.004530364702643384,0.005001538929451145,0.010459911682060867,0.011042190662466393,0.005454357244171292,0.007109806794526655,0.03647926223243401,0.031639447544386,0.005351895991487278,0.009872382561133397,0.001640472999938394,0.027326236964386356,0.06399760310977022,0.031164144232473868,0.012566557219547234,0.013148913117970644
-1.8924971258746808,2.7137382392748864E-16,0.6468766210023522,0.004430322400871622,0.005033430429282222,0.011269502369950382,0.012973198005307779,0.006495933503415984,0.007060833071809581,0.03455208562889175,0.03154465161493398,0.00471221455629264,0.009979892674829335,0.0027237814716156825,0.02790537814498217,0.06446987411783618,0.02654471621602728,0.009641403545697251,0.008861680414482235
-1.875501269041813,2.7221529381734966E-16,0.6946105808479152,0.004376428354700898,0.0051510198517965644,0.012311525780450324,0.015180643200249052,0.0075743890767730705,0.006704434384578492,0.03174179768485101,0.03191667095637809,0.00439245455508037,0.010634789296280332,0.003909789179896048,0.028403844116202098,0.06103838665425458,0.020867190315110022,0.008973442382725629,0.0025682943910739584
-1.8573025030989585,2.728821709169395E-16,0.7418990422661891,0.004368740339803548,0.005352029425131381,0.013562010114958185,0.017626986633836987,0.008663286040179899,0.006098403236377822,0.028701230873712298,0.03315351541137511,0.004180520901957646,0.012245090356752914,0.005240726748996063,0.028315515018143573,0.05924963778738499,0.012690720840384452,0.012353928055626765,0.0019881131225811277
-1.8379128136599663,2.7337407275696626E-16,0.7887117878319276,0.004407395868125871,0.005633190541978174,0.014992895191494776,0.020270653516985756,0.009746183131760885,0.005333429351466427,0.0260139903120375,0.03534053238371956,0.003943087094478732,0.014338153570691209,0.007260362620189005,0.0259113527622679,0.050856023644209734,0.005141406975034947,0.022513173508442893,0.002788160650017584
-1.8173441863386843,2.736906168681382E-16,0.8350186001198852,0.004492519889370281,0.005990422893459473,0.016573181268456437,0.023069097130807844,0.010819814185355513,0.004515187948370897,0.02406953530897725,0.038234764290481636,0.0036762292760010463,0.016064182489517336,0.01034187975869331,0.021336236499061877,0.039380543778641634,0.0019568508974474484,0.0392826799482971,0.0038924673351053334
-1.7956086067489583,2.738314207811632E-16,0.8807892617048146,0.004624231635022889,0.006418985358570776,0.01827032397081161,0.025982019265488498,0.011896055260763526,0.003745682759989847,0.022997576570817614,0.04134901904489282,0.003463419199320591,0.017088815358811908,0.01415887810492183,0.01627921918673175,0.032422555891445916,0.0049903287444342725,0.06123367918375362,0.016848748909647923
-1.7727187624042633,2.737961986385636E-16,0.9259937291528785,0.004802392236072267,0.006913399605350716,0.020050899810379202,0.02897430184106314,0.01300197267539322,0.0031068689428707433,0.0226712104389828,0.04410506806716319,0.0033996246073145606,0.018037916704269852,0.017989689927335465,0.011456019352486352,0.02487347194509798,0.015698262858215697,0.08032752712178304,0.02993573793201268
-1.7486904597752142,2.73585139051845E-16,0.9706034697824891,0.005025490006712608,0.007466101385671784,0.021877783721106478,0.03201373745055364,0.01417695648604813,0.0026493503111593014,0.02276814455692725,0.04599899056813994,0.003545297030032775,0.020055681331368886,0.021468393745769053,0.0065873598178357775,0.017788818386813062,0.03198869066381715,0.09220602685840387,0.05067134411636202
-1.7235403712716755,2.731985750656277E-16,1.014590577805327,0.005291514601482391,0.008068595821571012,0.023713781401193207,0.03507670625279305,0.015471428714413673,0.0023882872468729906,0.02287709957437815,0.04673983951631731,0.003940923543432836,0.023846148629001154,0.02480245688979954,0.0023135761005080467,0.018512562151713114,0.05188336521264468,0.08608354177994053,0.05224979015264762
-1.6972851693360536,2.7263683974630106E-16,1.057927147723504,0.005598367004311771,0.008712165281371453,0.02552400315734127,0.03815126913353161,0.016943533240916013,0.0023050852547509436,0.022613462401690536,0.04631487386372263,0.004667973892384403,0.029052374232239362,0.028156484728650375,1.3350984027234446E-4,0.024229518357836582,0.07009308453707548,0.06810405438873676,0.03414133888939817
-1.6699415264107549,2.7190026616025434E-16,1.1005852740391302,0.005943968978583527,0.009388165416210388,0.02727722287511177,0.0412400503666204,0.018654815880471586,0.0023548857806191025,0.021715158801774218,0.04496508451124642,0.005905328604772994,0.0345354253606172,0.031021395848182306,7.31974172936881E-4,0.03367511343345106,0.07977892182642957,0.038278474859954635,0.028983604896901254
